"","Entity","Records_Lost","Year","Full_Story","Sector","Data_Sensitivity","Malware","Lost_or_Stolen_Device","Intentional_Data_Leak","Web_Based_Attack","Network_Based_Attack","Not_Enough_Info","State_Sponsored","Poor_Security_Practices","Method"
"2","AOL","92,000,000","2004","AOL worker arrested in spam scheme
Jason Smathers is charged with stealing his employer's subscriber list and selling it. 
NEW YORK (CNN/Money) - A software engineer at America Online was arrested Wednesday and charged with stealing AOL's subscriber list and selling it to someone sending spam e-mail, federal prosecutors in New York said.

According to the criminal complaint, Jason Smathers of Harpers Ferry, W. Va., used his inside knowledge of AOL's computer system to steal a list of 92 million AOL customer account ""screen names,"" and then sold them to Sean Dunaway, who is not an AOL employee.

Dunaway, of Las Vegas, NV., was accused of using the list to promote his own Internet gambling business and also sold the list to other spammers for $52,000, according to David Kelley, the U.S. attorney for the Southern District of New York.

The complaint further charges that Dunaway later paid Smathers $100,000 for an updated version of AOL's customer list.

Megan Gaffney, a spokeswoman with the U.S. Attorney's Office, Southern District of New York, confirmed that both men appeared in court Wednesday.

Dunaway, 21, attended federal court in Las Vegas, and Smathers, 24, made his initial federal court appearance in Virginia. Smathers will be detained overnight until a detention hearing tomorrow, Gaffney said.

Defense lawyers could not be reached for comment.

The two men each face a maximum sentence of five years in prison and a fine of $250,000, according to prosecutors.

An AOL spokesman said Smathers has been fired from the company.

""We deeply regret what has taken place and are thoroughly reviewing and strengthening our internal procedures as a result of this investigation and arrest,"" AOL said in a statement.

According to the complaint, Smathers used another employee's ID in April and May 2003 to assemble a complete list of AOL's customer account screen names, zip codes, telephone numbers and credit card types.

""(But) AOL has uncovered no information indicating that this theft involved member credit card or password information stored by AOL,"" said the statement from AOL.

AOL, the world's biggest Internet service provider, is owned by Time Warner Inc., as is CNN/Money.","tech","1",0,0,1,0,0,0,0,0,"Intentional_Data_Leak"
"3","Ameritrade Inc.","200,000","2005","Ameritrade warns 200,000 clients of lost data
Ameritrade Inc. has advised 200,000 current and former customers that a computer backup tape containing their personal information has been lost, MSNBC.com has learned. The tape contained information spanning the years 2000-2003, and included both current and past consumers of the online broker, according to spokeswoman Donna Kush.

Notices were mailed to the affected consumers last week, according to the company.

""We believe that information about your closed account resided on the missing tape,"" read one typical message, sent to a former Ameritrade customer. ""The information could include your account number, name and/or other personal information, like your Social Security number.""

The letter also says that the missing tape was ""likely lost or was destroyed.""

The online broker has over 3.7 million current customers, Kush said.

A total of four backup tapes  were found to be missing from a box that was damaged during shipping between two facilities, the company said. Three of the four tapes have been recovered at the shipper's facility.

""We don't believe any foul play was involved,"" Kush said.  ""And we are confident no customer accounts have been compromised or misused.""

Information on the tapes was compressed, so viewing it would require special equipment, Kush said. It was not encrypted, she added.

The incident was first discovered in February, according to Kush. The company wanted to wait until it could verify the impacted consumers before sending notification, she said.

News of the lost tape echoes a similar incident announced in February involving Bank of America , which lost a tape during shipping that included information on 1.2 million customers. Most were federal employees, and the tapes included information on high-profile government workers, including several U.S. Senators.

Several high-profile data theft incidents have splattered news pages since Feb. 14, when ChoicePoint Inc. announced criminals posing as clients downloaded personal information on 145,000 people.

""We sincerely apologize for this unusual event, and any discomfort it may cause you,"" the Ameritrade e-mail said. ""That's why we wanted to notify you as quickly as possible, and let you know what actions we are taking.""","financial","2",0,1,0,0,0,0,0,0,"Lost_or_Stolen_Device"
"4","Citigroup","3,900,000","2005","Personal Data for 3.9 Million Lost in Transit
In one of the largest breaches of data security to date, CitiFinancial, the consumer finance subsidiary of Citigroup, announced yesterday that a box of computer tapes containing information on 3.9 million customers was lost by United Parcel Service last month, while in transit to a credit reporting agency.

Executives at Citigroup said the tapes were picked up by U.P.S. early in May and had not been seen since.

The tapes contained names, addresses, Social Security numbers, account numbers, payment histories and other details on small personal loans made to millions of customers through CitiFinancial's network of more than 1,800 lending branches, or through retailers whose product financing was handled by CitiFinancial's retail services division.

The company said there was no indication that the tapes had been stolen or that any of the data in them had been compromised.

It was, however, the latest in a series of recent data-security failures involving nearly every kind of institution that compiles personal information -- ranging from data brokers like ChoicePoint and LexisNexis to financial institutions like Bank of America and Wachovia to the media giant Time Warner to universities like Boston College and the University of California, Berkeley.

All these institutions have reported data breaches in the last five months, affecting millions of individuals and spurring Congressional hearings and numerous bills aimed at improving security in the handling of sensitive consumer information. The fear is that Social Security numbers, when combined with a consumer's name, address and date of birth, can be used by thieves to open new lines of credit, secure loans and otherwise steal someone's identity.

Whether the recently reported breaches indicate an epidemic of data loss is unclear. Many privacy and security advocates have suggested that a California law, requiring that consumers be notified of data security breaches, has led to more confessions of data losses and increased awareness of a longstanding problem.

""I think what we're seeing is a situation that's been going on for a long time,"" said Beth Givens, director of the Privacy Rights Clearinghouse, an advocacy group in San Diego, ""and one which has only been made visible by California's law.""

The California law, which went into effect in July 2003, requires state government agencies as well as companies and nonprofit organizations -- regardless of where in the country they do business -- to notify California customers if the personal information maintained in their data files has been compromised.

Yet in an age of transnational banks, Internet commerce and giant data aggregators, notifying only California residents when data on consumers all over the country is potentially lost or compromised has proved to be a public relations impossibility. (ChoicePoint was widely accused of planning to notify only California residents when it learned that information on at least 145,000 Americans had fallen into the hands of thieves; the company, however, said it was planning on nationwide notification all along.)

Now, with each week bringing new reports of data loss, whether because tapes fell off the back of a U.P.S. truck or because data was electronically stolen by hackers or thieves, at least five other states -- Arkansas, North Dakota, Georgia, Montana and Washington -- have passed similar notification laws. As of last month, dozens of other states were considering similar laws.

In the most recent incident, Citigroup executives say the box containing the tapes was handed over to U.P.S., along with other items for shipping, on May 2, under ""special security procedures"" that the bank required of the courier. One of those special procedures, said Citigroup's chief operations and technology officer, Debby Hopkins, included scanning the bar code on each package, rather than scanning only the single bar code on the shipment manifest, which is a summary document listing all the packages being moved in one shipment.

According to Ms. Hopkins, just the summary document was scanned for the box, which was picked up in Weehawken, N.J., so U.P.S. was unable to track where in the delivery chain the box was lost. It was not until May 20 that an employee of Experian, the credit reporting agency that was to receive the tapes, called CitiFinancial to report that they had not arrived at Experian's data-processing center in Allen, Tex. An investigation by U.P.S. failed to locate the package.

CitiFinancial has notified the Secret Service, which is called whenever there is a compromise of financial data. The agency is investigating the incident, and CitiFinancial has begun sending letters to all 3.9 million customers advising them of the loss and offering them 90 days of free enrollment in a credit-monitoring service. Other institutions with data-loss problems have also offered free credit-monitoring services, some for as long as a year.

A spokesman for U.P.S., Norman Black, would not go into specifics on where or how the security system broke down, but said the courier was continuing its investigation. Mr. Black said blame ultimately lay with his company.

""They tendered us a package and expected it to be delivered in the reliable way that we always do,"" he said, ""and we had to go back to them and tell them that we can't find it.""

Mr. Black said that an exhaustive search of all U.P.S. facilities nationwide had turned up no sign of the package. ""It's rare that it gets to the point where we can find no trace of it,"" he said.

A spokesman for Experian, Donald A. Girard, said he had never seen an instance of a shipment of this kind simply disappearing, although he added that he and other credit agencies had been encouraging financial institutions to convert from tapes to encrypted electronic delivery of data.

""Experian has been actively working for quite a while with all major data contributors to convert to electronic data transference,"" Mr. Girard said, ""to mitigate risk in this process.""

Ms. Hopkins of Citigroup said that most of the company's divisions already did this, and that the CitiFinancial unit is scheduled to convert to such electronic transfers in July.

She also said that the missing tapes, which were not encrypted, were created using mainframe-type computers and highly specialized hardware and software that would make it difficult -- though not impossible -- to extract data from them.

And Ms. Givens of the Privacy Rights Clearinghouse said, ""Your everyday dumpster diver may not know what to do with these tapes, but if these tapes ever find their way into the hands of an international crime ring, I think they'll figure it out.""","financial","3",0,0,0,0,0,0,0,1,"Poor_Security_Practices"
"5","Cardsystems Solutions Inc. ","40,000,000","2005","CardSystems' Data Left Unsecured
CardSystems Solutions – the credit-card processing company that recently exposed 40 million debit and credit-card accounts in a cyber break-in – failed to secure its network, even though the network had been certified secure to a data security standard, according to Visa.

Since 2001, Visa and MasterCard have been touting a data security industry standard they developed in an effort to prevent credit-card data theft and stave off federal regulation. The standard has become a required criteria for businesses handling credit-card transactions.

Visa spokeswoman Rosetta Jones told Wired News that CardSystems Solutions received certification in June 2004 that it was compliant with the standard, but an assessment after the breach showed it was not compliant.

MasterCard International announced last Friday that intruders had accessed the data from CardSystems Solutions, a payment processing company based in Arizona, after placing a malicious script on the company's network.

""Had they been following the rules and requirements, they would not have been compromised,"" Jones said.

CardSystems did not return calls for comment.

The company was due this month for an annual audit to determine its ongoing compliance with the standard when it discovered the data breach in May.

""We sent in a forensic team (after the breach) and determined they were not compliant based on how they were managing data,"" Jones said.

Jones would not provide specifics on what auditors found in their assessment. But when asked if it would be fair to say that the evidence indicated a failure to apply a firewall or maintain virus definitions – two basic steps in securing a network – she said, ""That would be fair.""

The standard, called the Payment Card Industry Data Security Standard, or PCI, consists of 12 requirements (PDF), such as installing a firewall and anti-virus software and regularly updating virus definitions. It also requires companies to encrypt data, to restrict data access to people who need it and to assign a unique identifying number to people with access rights in order to monitor who views and downloads data.

Although the standard was developed by Visa and MasterCard, it's endorsed by other credit-card companies. It applies to any merchant or service provider that processes, transmits or stores credit-card payments and places additional requirements on card issuers, such as banks, to ensure that merchants and service providers comply with the requirements and report breaches in a timely manner. The standard went into effect June 2001, although businesses had until June 30th of this year to validate that they were in compliance, Jones said.

Since 2001, any business wishing to process credit-card transactions had to sign a contract binding them to the PCI standard and obtain a security audit from an approved assessor certifying their compliance.

Jones said CardSystems had an assessor evaluate its compliance and submitted paperwork toward that compliance in June 2003. But Visa rejected it.

""We felt that they had more work to do to become more fully compliant,"" Jones said, declining to disclose what prompted the rejection. A year later CardSystems submitted paperwork again and received certification in June 2004.

Bruce Schneier, chief technology officer at Counterpane, a computer security firm that helps companies secure and monitor their networks, said the revelation highlights a universal problem with enforcing standards.

""The standard not only has to be good, but the compliance process has to have integrity,"" Schneier said. ""But a lot of (compliance involves) self-certification. It's things you say you do. And it's only audited minimally.""

CardSystems is a major processor of credit-card transactions. According to its website, it processes more than $15 billion annually in credit-card transactions for Visa, American Express, MasterCard and Discover. It also processes online transactions and Electronic Benefit Transfer transactions – cards used by the government to dole out social welfare benefits such as food stamps and unemployment payments.

Jones wouldn't say who performed the compliance assessment for CardSystems, but she noted that the assessor had to come from an approved list of auditors (PDF) that Visa and MasterCard maintains.

Approved assessors go through a screening process. Jones said their reputation relies on making certain that they ""assess (a company's) situation as truthfully and honestly as possible.""

Per the PCI standard agreement, Visa and MasterCard can fine merchants that don't comply with the data standard or they can withdraw the company's right to accept credit-card payments or process transactions. They could also conceivably collect damages from a company if the breach resulted in a massive data loss that required Visa or MasterCard to launch an expensive public relations campaign to counteract the loss of public confidence in their cards.

""Visa and MasterCard could say… 'you owe us $300,000 that we had to spend on attorneys' fees and PR consultants,'"" said Chad King, a partner in the Texas law firm Hughes and Luce, who specializes in privacy and data security issues. ""Now would they do that? It's unlikely. But if the merchant is Amazon.com, then maybe Visa would do it.""

The bank that issued the credit card and the merchant's bank could also be fined up to $500,000 per incident if a merchant or service provider they did business with was out of compliance with the standard at the time of a breach. Card issuers would also be subject to a $100,000 penalty if they failed to notify Visa's fraud control unit of a suspected or confirmed loss of data at one of their merchants or service providers.

King said that many large merchants are already complying with the standards.

""This is going to help smaller merchants and processors,"" he said. ""It will make them sit up and take note: If you're going to play in the credit-card game, here are the rules.""

The compliance requirement for the data standard goes into effect as federal lawmakers are discussing legislation to regulate businesses that deal with sensitive personal information in the wake of other high-profile data breaches and security failures at companies like ChoicePoint, Bank of America and CitiBank.

""They are really trying to hold up a banner and say we're self-regulating and we can do this ourselves,"" King said. ""But I think ultimately we will see some federal regulation here.""

Schneier said the PCI standard has teeth, since it levies financial penalties and raises the cost of processing credit cards for companies that are caught not complying, but he said Visa and MasterCard now have to work out the compliance issues.

""They're terrified that everybody will be afraid to use their credit card,"" Schneier said, about the motivation for the standard requirements. ""They're trying to protect the integrity of their brands. So if they're not working, Visa and MasterCard will figure out how to make them work.""

Of course the standard will motivate companies only if they actually have to pay a price for non-compliance. Jones said that there is currently no plan to fine CardSystems Solutions for its lax security.

The New York Times reported this week that federal banking regulators have launched an investigation into CardSystems' security procedures.","financial","3",1,0,0,0,0,0,0,0,"Malware"
"6","AOL","20,000,000","2006","AOL Proudly Releases Massive Amounts of Private Data
Further Update: Sometime after 7 pm the download link went down as well, but there is at least one mirror site. AOL is in damage control mode – the fact that they took the data down shows that someone there had the sense to realize how destructive this was, but it is also an admission of wrongdoing of sorts. Either way, the data is now out there for anyone that wants to use (or abuse) it.

Update: Sometime around 7 pm PST on Sunday, the AOL site referred to below was taken down. The direct link to the data is still live. A cached copy of the page is here.

AOL must have missed the uproar over the DOJ’s demand for “anonymized” search data last year that caused all sorts of pain for Microsoft and Google. That’s the only way to explain their release of data that includes 20 million web queries from 650,000 AOL users.

The data includes all searches from those users for a three month period this year, as well as whether they clicked on a result, what that result was and where it appeared on the result page. It’s a 439 MB compressed download, expanded to just over 2 gigs. The data is available here (this link is directly to the file) and the output is in ten text files, tab delineated.

The utter stupidity of this is staggering. AOL  has released very private data about its users without their permission. While the AOL username has been changed to a random ID number, the abilitiy to analyze all searches by a single user will often lead people to easily determine who the user is, and what they are up to. The data includes personal names, addresses, social security numbers and everything else someone might type into a search box.

The most serious problem is the fact that many people often search on their own name, or those of their friends and family, to see what information is available about them on the net. Combine these ego searches with porn queries and you have a serious embarrassment. Combine them with “buy ecstasy” and you have evidence of a crime. Combine it with an address, social security number, etc., and you have an identity theft waiting to happen. The possibilities are endless.

Marketers are going nuts over the possibilities, users are calling for a boycott of AOL, and others are just enraged:

User 491577 searches for “florida cna pca lakeland tampa”, “emt school training florida”, “low calorie meals”, “infant seat”, and “fisher price roller blades”. Among user 39509’s hundreds of searches are: “ford 352”, “oklahoma disciplined pastors”, “oklahoma disciplined doctors”, “home loans”, and some other personally identifying and illegal stuff I’m going to leave out of here. Among user 545605’s searches are “shore hills park mays landing nj”, “frank william sindoni md”, “ceramic ashtrays”, “transfer money to china”, and “capital gains on sale of house”. Compared to some of the data, these examples are on the safe side. I’m leaving out the worst of it – searches for names of specific people, addresses, telephone numbers, illegal drugs, and more. There is no question that law enforcement, employers, or friends could figure out who some of these people are.

There is some really scary stuff in this data.

I am assuming that AOL will take this page and the data down soon, but as of the time of this post it has been downloaded 809 times already. People I’ve spoken with are already building a web interface to the data. If you are an AOL customer, I feel sorry for you.

Note that Microsoft has proposed releasing similar data to researchers, although with an important difference – the data is not associated with a user. Excite released data very similar to what AOL has done here, with user associations, in 1999.

AOL is hitting bottom when it comes to brand image. This story comes on the heels of the recorded phone call with customer service disaster as well as a just-in story about a woman who is unable to cancel her deceased father’s AOL account, nine months after his death.","tech","1",0,0,1,0,0,0,0,0,"Intentional_Data_Leak"
"7","US Dept of Vet Affairs","26,500,000","2006","VA settlement demonstrates just how costly lax security can be
If you want another good reason to make sure your sensitive data is adequately locked down, look no farther than the Veterans Affairs Department, which last week agreed to pay $20 million to settle a class action lawsuit over the 2006 loss of a laptop containing records with personal information about up to 26.5 million veterans and active duty personnel.

That’s a lot of money, and it will be paid from taxpayers’ dollars, but VA got off lucky. The suit originally asked for $1,000 for each person whose data was exposed, which could have been more than $26 billion. That’s nearly enough to bail out a good-sized bank.

The settlement demonstrates that the repercussions of exposing data can be long-lasting and that the cost can go far beyond the immediate expense of cleaning up the breach. For companies it has long been known that negative publicity resulting from public notification of a data breach can quickly translate into millions of dollars of lost shareholder value as stock prices tumble. Agencies do not have to worry about stock prices, but the threat of other costs is real. The VA agreed to the settlement even though the department has said there is no evidence that the information on the stolen laptop was used or than any person involved was harmed by it.

Lesson: It could be a lot cheaper to secure your data in the first place than to pay for damage control later.

To its credit, the VA generally has responded well to this incident despite an initial three-week delay after the theft was reported before possible victims were alerted back. Since then the department has gotten serious about improving protections on data and has been a major user of Microsoft’s Rights Management Services, which places controls on the use of documents. Security still is not perfect, but it is a huge department with hundreds of facilities and offices located around the country offering a multitude of services, so it is gong to take a long time to get everything under control. But the department did the right thing in stepping up and taking responsibility for the huge 2006 loss and agreeing to the payout, even if it does hurt the taxpayers.

The lawsuit was filed in U.S. District Court in Washington by five veterans groups in June 2006, a month after news was released of the theft of a laptop on which a VA data analyst had loaded the data. The laptop was recovered with the data apparently intact. But it is impossible say with absolute certainty that the data was not accessed and copied. Millions of persons whose names, birthdates and Social Security numbers were in the data were put to the trouble of monitoring their credit and worrying about data theft.

The settlement calls for payments of from $75 to $1,500 to persons who can show some harm resulting from the incident, which could include physical symptoms of stress or expenses for credit monitoring. Any money left over from the $20 million fund will be donated to veterans’ charities.

Let’s hope that few of the veterans whose data was exposed in the incident were badly harmed by it and that actual payouts of damages will be small. The upside of the incident could prove to be twofold: A sizeable chunk of money could go to deserving charities, and a lesson will have been learned about the value of preventing a breach rather than responding to it after the fact.","government","2",0,1,0,0,0,0,0,0,"Lost_or_Stolen_Device"
"8","KDDI","4,000,000","2006","KDDI suffers massive data breach
Police investigate as info on 4M goes missing
Personal data on almost 4 million customers of Japanese telecom carrier KDDI Corp. has been breached, the company said Tuesday.

The data includes the name, address and telephone number of 3,996,789 people who had applied for accounts with KDDI's Dion Internet provider service up to Dec. 18, 2003, KDDI said. Additionally the gender, birthday and e-mail addresses of some of the people was also leaked.

KDDI is Japan's second-largest telecommunications carrier. It operates fixed-line, dial-up Internet, broadband and cellular services through a number of different companies.

The carrier became aware of the leak on May 31 this year when it received a phone call from someone claiming to possess a CD-ROM of the data, said Yoko Watanabe, a spokeswoman for the Tokyo-based carrier. The original source of the data has yet to be determined and Watanabe declined to comment on other aspects of the case, which is being investigated by the police, she said.

The leak is just the latest of several to hit the headlines in Japan this year. Personal information has been leaked by companies a number of times onto the Internet through viruses that infect PCs running file sharing programs. While the source of the data lost by KDDI is not yet clear, the episode is likely to increase fears of identity theft and other fraud in Japan.

In recent years the number of frauds committed against consumers using such information has been on the rise. Armed with the name and address or telephone number of a consumer, fraudsters can send out bills or make calls demanding payment for services that were never delivered. The slick frauds often dupe consumers into sending money before they realize they have been tricked.","telecoms","1",0,0,0,0,0,0,0,1,"Poor_Security_Practices"
"9","Hewlett Packard","200,000","2006","Personal data on 200,000 HP employees stolen
A laptop with personal information about almost 200,000 current and former Hewlett-Packard employees has been stolen, igniting another US identity fraud threat.

The laptop belonged to Fidelity Investments, which provides financial services to Hewlett-Packard. It was being used by several Fidelity employees in an off-site location, said Fidelity.

The data covers 196,000 current and former employees, and includes their names and addresses, social security numbers, dates of birth and employment-related information.

This is the latest data theft incident to hit corporate America. Last month, McAfee reported that an external auditor lost a CD with information about thousands of current and former McAfee employees. The auditor left the CD on an aeroplane.

Fidelity has reported the theft to law enforcement agencies and the matter is now under investigation.

Hewlett-Packard and Fidelity have already started notifying affected individuals about the theft, and Fidelity is offering the Hewlett-Packard staff a free credit-monitoring service for a year to help counter any fraud attempts using their data.","tech","2",0,1,0,0,0,0,0,0,"Lost_or_Stolen_Device"
"10","Monster.com","1,600,000","2007","Monster attack steals user data

US job website Monster.com has suffered an online attack with the personal data of hundreds of thousands of users stolen, says a security firm.
A computer program was used to access the employers' section of the website using stolen log-in credentials.

Symantec said the log-ins were used to harvest user names, e-mail addresses, home addresses and phone numbers, which were uploaded to a remote web server.

The stolen data could be used to send phishing and spam e-mails.
""This remote server held over 1.6 million entries with personal information belonging to several hundred thousands of candidates, mainly based in the US, who had posted their resumes to the Monster.com website,"" reported Symantec.

Security breach

The firm has contacted Monster.com to inform them of the security breach.

Symantec said it had seen reports of phishing e-mails sent out to Monster.com users which were ""very realistic"" and contained ""personal information of the victims"".

The e-mail encouraged users to download a Monster Job Seeker Tool, which was in fact a program that encrypted files in their computer and left a ransom note demanding money for their decryption.

""To the best of our knowledge, this is not a hack of Monster's security, rather, legitimate customer credentials are being used to log in to the database,"" said Patrick Manzo, vice president of compliance and fraud prevention at Monster.

He added: ""There have been reports of this as an issue of identify theft.

""We are not aware of any cases of identity theft. In fact, the information that is gathered from Monster is no different than that displayed in a phone book.""

The program used to access Monster.com user data was a Trojan, which are commonly used to gain access to bank details, usernames and passwords.

More than 8,000 new variants of Trojans are found each month, according to internet security specialists Sophos.

Last year, a British nurse was blackmailed by hackers who had used a Trojan to access her personal e-mails.

They threatened to reveal personal details unless she paid them.

Symantec said users should always limit contact information posted to job websites and to use a disposable e-mail address.

""Never disclose sensitive details such as your social security number, passport or driver's license numbers, bank account information to prospective employers until you have established they are legitimate,"" said the firm.","tech","2",1,0,0,0,0,0,0,0,"Malware"
"11","Driving Standards Agency","3,000,000","2007","Millions of L-driver details lost

The details of three million candidates for the driving theory test have gone missing, Ruth Kelly has told MPs.
Names, addresses and phone numbers - but no financial information - were among details on a computer hard drive which went missing in the US in May.

It belonged to a contractor working for the Driving Standards Agency, she said.

It is the second time in a month ministers have apologised for a loss of data after HM Revenue and Customs lost discs containing 25m people's details.
Ms Kelly said the details of learner drivers had been formatted specifically to meet the security requirements of the private contractor, Pearson Driving Assessments Ltd, and were not ""readily usable or accessible"" by third parties.

Risks 'not substantial'

She said the details were not sent in the post - but the hard drive had not been found where it had been expected to be, in a ""secure facility"" in Iowa.

The information commission had judged the risks presented by the loss were not ""substantial"" and there was no need to notify each person individually.

The details did not include bank account details, National Insurance numbers, driving licence numbers or dates of birth, she said.

""Nevertheless I apologise for any uncertainty or concern that these individuals may experience,"" Ms Kelly said.

She added the Driving Standards Agency had set up a dedicated advice line for candidates who took their driving theory test between September 2004 and April 2007.

Ms Kelly said the loss had emerged as part of a Department of Transport audit, as part of a review of data security across government departments.

'Systemic failure'

It appears a junior minister, Stephen Ladyman, was informed about the problem in June and agreed a series of procedures and wide audit with Pearson - but did not make the information public.

Details of candidates were sent electronically to Pearson Driving Assessments in Iowa. The hard drive was then sent to another state before being brought back to Iowa, where it went missing.

Ms Kelly said the Department of Transport was making changes to the way it handled data - including more electronic transfer and ""secure couriers"" for that information which could not be transmitted that way, as well as increased emphasis on the Data Protection Act.

It follows the loss of personal details of more than 6,000 drivers by the Driver and Vehicle Agency in Coleraine, Northern Ireland in November.

Ms Kelly said that agency would be merged with the Driver and Vehicle Licensing Agency in Swansea to reduce the risk of it happening again.

And in October, the prime minister had to apologise for the loss of two discs containing the entire child benefit database - personal details of 25 million people including National Insurance numbers and bank accounts.

'Spy-in-the-sky'

Shadow transport secretary Theresa Villiers said it was further evidence of a lack of competence and ""systemic failure"" by the government in handling private data.

""Quite simply the government is failing in its duty to obey its own laws on data protection,"" she said.
Ms Villiers told Ms Kelly: ""This incident and the HM Revenue and Customs disaster are another blow to your plans for an untested spy-in-the-sky national road pricing scheme.""

Susan Kramer, for the Liberal Democrats described the further loss of data from another government department as ""mind-bending"".

She said: ""Perhaps the answer is we should be holding less data on people or it should automatically be destroyed.

""I still can't get to the bottom of how old some of this data was on people who'd applied for drivers' licences.

""This constant attempt to gather data, to get more data, to know more about you, to link it more together, all of that it seems to me is what comes into question.""

'Deep regret'

Pearson plc, the parent company of Pearson Driving Assessments Ltd, said: ""We take great care over the quality and security of our data and we deeply regret this incident.

""There is no loss of sensitive financial data and no evidence of misuse. We have put in place additional measures to strengthen data security further.""

The BBC's Justin Webb said the company had reported the missing hard drive to Iowa police, but referred to it has having been ""mislaid"" and said there was no evidence it had been stolen.

Ms Kelly's statement followed Chancellor Alistair Darling's presentation of an interim report by Kieran Poynter, UK chairman at PriceWaterhouseCoopers, into the loss of the two child benefit discs.","government","2",0,1,0,0,0,0,0,0,"Lost_or_Stolen_Device"
